,rev_id,article_quality_est
893,705347173,Start
894,705347224,Stub
895,705347243,Stub
896,705349064,Start
897,705349092,Stub
898,705349139,Stub
899,705349167,Stub
900,705349213,Stub
901,705353421,Stub
902,705353491,Stub
903,705353565,Stub
904,705353584,Stub
905,705353647,Stub
906,705353678,Stub
907,705353843,Stub
908,705353896,Stub
909,705353975,Stub
910,705354095,Stub
911,705354112,Stub
912,705354212,Stub
913,705360501,Start
914,705360606,Start
915,705361515,Stub
916,705361631,Stub
917,705361890,Stub
918,705361977,Stub
919,705362182,Stub
920,705362274,Stub
921,705363525,Stub
922,705363610,Stub
923,705363657,Stub
924,705363872,Start
925,705363891,Start
926,705369652,Start
927,705381218,Stub
928,705383874,Start
929,705385310,Stub
930,705386024,Stub
931,705390654,Stub
932,705395252,Stub
933,705395257,Stub
934,705397692,Stub
935,705402311,Stub
936,705409866,Start
937,705419921,Stub
938,705420162,Stub
939,705420173,Stub
940,705426676,Stub
941,705426756,Stub
942,705426772,Stub
943,705428274,Stub
944,705431624,Stub
945,705432607,Stub
946,705433513,C
947,705434314,Stub
948,705436088,Stub
949,705459067,Stub
950,705460148,Stub
951,705460585,Start
952,705467367,Start
953,705490419,Start
954,705518003,Stub
955,705518883,Stub
956,705527296,Stub
957,705528950,Stub
958,705539849,Stub
959,705543133,Stub
960,705546376,Stub
961,705547266,Stub
962,705550209,Stub
963,705557717,Stub
964,705570766,Stub
965,705579844,Stub
966,705585115,Start
967,705586751,Start
968,705597487,Stub
969,705601685,Start
970,705607317,Stub
971,705607410,Stub
972,705619664,Stub
973,705622230,Stub
974,705622580,Stub
975,705631918,Stub
976,705653632,Stub
977,705700815,Stub
978,705706890,Start
979,705707214,Stub
980,705720356,Stub
981,705723187,Stub
982,705723441,Stub
983,705726893,Stub
984,705727586,Start
985,705736835,Start
986,705736979,Stub
987,705737107,Start
988,705746468,Stub
989,705765669,Stub
990,705765780,Stub
991,705775235,Start
992,705776541,Stub
993,705817095,Stub
994,705842209,Stub
995,705870505,Stub
996,705878369,Stub
997,705882918,Stub
998,705883069,Stub
999,705886439,Start
1000,705901879,Start
1001,705904127,Stub
1002,705910185,Stub
1003,705911885,Stub
1004,705915804,C
1005,705920025,Start
1006,705924460,Start
1007,705924765,Stub
1008,705925026,Stub
1009,705927033,Stub
1010,705929702,Stub
1011,705951934,Stub
1012,705953821,Start
1013,705960229,Stub
1014,705961390,Stub
1015,705968296,Start
1016,705980040,Start
1017,705986322,Start
1018,705993227,Stub
1019,706015433,Stub
1020,706047516,Start
1021,706049252,Stub
1022,706066998,Stub
1023,706067548,Stub
1024,706073156,Stub
1025,706085467,Start
1026,706100027,Stub
1027,706112927,Stub
1028,706114162,Stub
1029,706114442,Stub
1030,706115246,Start
1031,706119974,Stub
1032,706146554,Stub
1033,706152385,Start
1034,706183416,Stub
1035,706183637,Stub
1036,706183676,Stub
1037,706183917,Stub
1038,706188219,Start
1039,706198405,Stub
1040,706202497,Stub
1041,706206903,Stub
1042,706207837,Start
1043,706211513,Start
1044,706231609,Stub
1045,706231743,Stub
1046,706231958,Stub
1047,706233042,Start
1048,706233074,Stub
1049,706233282,Stub
1050,706233501,Stub
1051,706234220,Stub
1052,706235030,Stub
1053,706235531,Start
1054,706236661,Stub
1055,706240273,Stub
1056,706240609,Stub
1057,706241606,Stub
1058,706241823,Stub
1059,706242060,Stub
1060,706242061,Stub
1061,706242079,Start
1062,706242606,Stub
1063,706242815,Stub
1064,706255894,Start
1065,706263160,Start
1066,706266522,Stub
1067,706281586,Stub
1068,706293779,Stub
1069,706307565,Stub
1070,706317015,Stub
1071,706327588,Stub
1072,706334220,Start
1073,706335116,Stub
1074,706337207,Stub
1075,706337300,Stub
1076,706338188,Stub
1077,706339506,Start
1078,706340312,Start
